,year,week,start_price,end_price,mu,sigma,label
0,2019,0,59.25,61.83,1.45,2.2,green
1,2019,1,61.83,62.32,0.16,0.53,green
2,2019,2,62.32,63.43,0.35,0.51,green
3,2019,3,63.43,62.32,-0.43,0.78,green
4,2019,4,62.32,65.97,1.15,1.41,green
5,2019,5,65.97,65.0,-0.29,0.84,red
6,2019,6,65.0,68.28,0.99,0.78,green
7,2019,7,68.28,68.9,0.23,0.67,green
8,2019,8,68.9,70.29,0.4,0.65,green
9,2019,9,70.29,69.42,-0.24,0.94,red
10,2019,10,69.42,70.42,0.29,0.57,green
11,2019,11,70.42,70.71,0.09,0.96,green
12,2019,12,70.71,70.99,0.08,0.77,green
13,2019,13,70.99,72.48,0.42,0.81,green
14,2019,14,72.48,71.1,-0.38,0.82,red
15,2019,15,71.1,71.28,0.07,0.44,green
16,2019,16,71.28,70.72,-0.14,1.64,green
17,2019,17,70.72,68.07,-0.76,0.99,red
18,2019,18,68.07,68.04,-0.01,0.5,red
19,2019,19,68.04,67.46,-0.17,0.63,red
20,2019,20,67.46,65.85,-0.48,1.05,red
21,2019,21,65.85,62.89,-1.14,0.72,red
22,2019,22,62.89,66.28,1.06,1.15,green
23,2019,23,66.28,66.07,-0.06,0.68,red
24,2019,24,66.07,69.04,0.89,0.78,green
25,2019,25,69.04,68.1,-0.27,0.86,red
26,2019,26,68.1,67.66,-0.16,0.74,red
27,2019,27,67.66,68.99,0.39,0.54,green
28,2019,28,68.99,66.64,-0.69,0.54,red
29,2019,29,66.64,66.48,-0.05,0.32,red
30,2019,30,66.48,63.76,-0.83,1.12,red
31,2019,31,63.76,62.95,-0.24,1.84,red
32,2019,32,62.95,61.45,-0.46,1.99,red
33,2019,33,61.45,60.72,-0.23,1.61,red
34,2019,34,60.72,61.61,0.29,0.72,green
35,2019,35,61.61,63.82,0.88,0.48,green
36,2019,36,63.82,65.36,0.48,0.45,green
37,2019,37,65.36,64.85,-0.15,0.84,red
38,2019,38,64.85,64.31,-0.16,0.73,green
39,2019,39,64.31,62.05,-0.7,1.73,red
40,2019,40,62.05,62.06,0.01,1.38,green
41,2019,41,62.06,60.83,-0.4,0.77,red
42,2019,42,60.83,62.31,0.48,0.87,green
43,2019,43,62.31,62.62,0.11,1.48,red
44,2019,44,62.62,64.44,0.6,2.19,green
45,2019,45,64.44,63.0,-0.45,0.79,red
46,2019,46,63.0,63.17,0.06,1.27,red
47,2019,47,63.17,62.04,-0.45,0.31,red
48,2019,48,62.04,63.29,0.41,0.89,green
49,2019,49,63.29,63.04,-0.07,1.21,red
50,2019,50,63.04,63.69,0.21,0.69,green
51,2019,51,63.69,63.64,-0.02,0.37,green
52,2019,52,63.64,63.54,-0.08,0.51,green
53,2020,0,63.54,64.04,0.4,1.2,green
54,2020,1,64.04,62.96,-0.34,0.93,red
55,2020,2,62.96,62.43,-0.17,0.61,red
56,2020,3,62.43,60.39,-0.83,0.35,red
57,2020,4,60.39,56.57,-1.28,1.8,red
58,2020,5,56.57,55.97,-0.18,2.44,red
59,2020,6,55.97,56.02,0.02,0.9,red
60,2020,7,56.02,54.62,-0.63,0.83,red
61,2020,8,54.62,47.51,-2.7,3.22,red
62,2020,9,47.51,44.05,-1.42,4.07,red
63,2020,10,44.05,35.21,-4.14,6.71,red
64,2020,11,35.21,30.24,-2.75,6.9,red
65,2020,12,30.24,34.13,2.65,6.46,green
66,2020,13,34.13,36.22,1.26,3.59,green
67,2020,14,36.22,39.84,2.45,2.86,green
68,2020,15,39.84,39.92,0.18,5.31,red
69,2020,16,39.92,40.39,0.28,2.85,green
70,2020,17,40.39,39.85,-0.18,4.29,green
71,2020,18,39.85,42.65,1.4,2.43,green
72,2020,19,42.65,39.55,-1.48,1.93,red
73,2020,20,39.55,41.99,1.28,3.96,green
74,2020,21,41.99,42.81,0.5,1.99,green
75,2020,22,42.81,49.98,3.18,2.83,green
76,2020,23,49.98,44.41,-2.23,4.5,red
77,2020,24,44.41,43.29,-0.49,1.94,red
78,2020,25,43.29,41.07,-1.02,2.54,green
79,2020,26,41.07,41.5,0.27,1.49,green
80,2020,27,41.5,40.16,-0.63,2.53,red
81,2020,28,40.16,40.98,0.42,1.74,green
82,2020,29,40.98,40.89,-0.01,2.72,red
83,2020,30,40.89,39.62,-0.6,2.34,green
84,2020,31,39.62,40.9,0.65,1.23,green
85,2020,32,40.9,41.48,0.29,1.61,green
86,2020,33,41.48,39.38,-1.03,0.37,red
87,2020,34,39.38,39.07,-0.13,2.42,red
88,2020,35,39.07,37.52,-0.8,0.67,red
89,2020,36,37.52,35.43,-1.42,0.99,red
90,2020,37,35.43,35.71,0.18,2.1,red
91,2020,38,35.71,33.26,-1.4,1.53,red
92,2020,39,33.26,31.67,-0.96,2.01,red
93,2020,40,31.67,33.36,1.08,2.47,green
94,2020,41,33.36,32.74,-0.37,0.73,red
95,2020,42,32.74,32.8,0.07,2.74,red
96,2020,43,32.8,31.32,-0.88,2.81,red
97,2020,44,31.32,31.47,0.12,2.11,red
98,2020,45,31.47,35.48,2.57,5.49,green
99,2020,46,35.48,36.32,0.52,3.15,green
100,2020,47,36.32,39.52,2.23,4.4,green
101,2020,48,39.52,40.98,0.78,3.22,green
102,2020,49,40.98,43.07,1.02,1.95,green
103,2020,50,43.07,42.02,-0.47,2.06,red
104,2020,51,42.02,40.91,-0.66,1.25,red
105,2020,52,40.91,40.53,-0.23,0.81,green
